ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
8A66ACA4-44A4-43A6-A59E-718CF3787262,MS000330,Museum  Subak,0,"Jl. Gatot Subroto, Ds. Banjar Anyar",-,Kediri,Kab. Tabanan,Prop. Bali,-8.5453940,115.1380760,0,-,Perda Pemprop Bali No. 02/PD/DPRD/1972 Disbudpar Kab. Tabanan.,Khusus,B,0,-,0,-
C5248659-08B6-40C0-BB11-5D0A7EBB00D1,MS000339,Museum Monumen Nasional Taman Pujaan Bangsa Margarana,0,Desa Marga Dauh,-,Marga,Kab. Tabanan,Prop. Bali,-8.4700880,115.1571780,0,-,YAYASAN Kebaktian Proklamasi,Khusus,C,0,-,0,-
4B4174A7-1488-4748-84B9-B3BF815CF3DA,MS000520,Tanteri Museum of Ceramic Art,,Banjar Simpangan,Desa Pejaten,Kec. Kediri,Kab. Tabanan,Prov. Bali,.0000000,.0000000,,-,,,,,,,
