ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
BE8C1B4C-3929-4251-8851-123DF242BB1D,MS000169,Museum Gedung Pusaka Keraton Kanoman,0,Jln. Merdeka No. 28,-,Lemahwungkuk,Kota Cirebon,Prop. Jawa Barat,-6.7223700,108.5707640,0,-,dinas kebudayaan pemuda dan olahraga kabupaten cirebon,-,C,1997,-,0,-
C5CC32F3-1D7B-4159-A7D1-2289606322DA,MS000183,Museum Keraton Kacirebonan,0,Jl. Keraton Kasepuhan No.43,-,Lemahwungkuk,Kota Cirebon,Prop. Jawa Barat,-6.7247680,108.5724280,0,-,Pemkot,-,-,0,-,0,-
5B0BFE96-9031-4C64-9AE9-0F3E6FDABFC0,MS000153,Museum Pusaka Keraton Kasepuhan,0,"Jl Keraton Kasepuhan No 43, Kelurahan Kasepuhan",-,Lemahwungkuk,Kota Cirebon,Prop. Jawa Barat,-6.7245680,108.5725360,0,-,SWASTA,Khusus,C,0,-,0,-
