ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
B3204E71-3945-47CF-B182-F7C1F41D1281,MS000530,"Museum ""Siraja"" Teluk Bayur",,Jl. Kampung Cina RT 5,Kel. Teluk Bayur,Kec. Teluk Bayur,Kab. Berau,Prov. Kalimantan Timur,.0000000,.0000000,,-,,,,,,,
440B2776-23F2-41CD-BF51-D688AE33B41A,MS000531,Museum Batiwakkal,,Jl. Kuran,-,Kec. Gunung Tabur,Kab. Berau,Prov. Kalimantan Timur,.0000000,.0000000,,-,,,,,,,
68737783-2A57-453A-9044-0FC2D30373B4,MS000420,Museum Gunung Tabur,0,-,-,Gunung Tabur,Kab. Berau,Prop. Kalimantan Timur,2.1602050,117.4886720,549,-,-,-,-,1992,-,0,-
