ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
595F565D-8AB5-499D-8911-5DB8F803EA66,MS000190,Museum Isdiman Palagan Ambarawa,0,Jl. Mgr. Soegiyopranoto,-,Ambarawa,Kab. Semarang,Prop. Jawa Tengah,-7.2601050,110.4024760,0,-,ABRI,Khusus,C,1974,-,0,-
21AA426D-DBF7-4B76-8C3F-07F98840AFEE,MS000191,Museum Kereta Api Ambarawa,0,Jl. Stasiun No.1,-,Ambarawa,Kab. Semarang,Prop. Jawa Tengah,-7.2649940,110.4045140,0,-,BUMN,Khusus,B,1976,Lama,127500,-
56F0C63B-F9A1-4C0F-B00B-B34B742948E7,MS000474,Museum Nissin Ungaran,,Jl. Raya Semarang - Salatiga KM. 23,Gedanganak,Kec. Ungaran Timur,Kab. Semarang,Prov. Jawa Tengah,.0000000,.0000000,,-,,,,,,,
