ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
52809F4D-19E6-45A9-B716-5D691392F3D1,MS000312,Museum Armada (Fleet House),0,Markas komando (Mako) Kopaska Koarmatim,-,Candi,Kab. Sidoarjo,Prop. Jawa Timur,-7.8722620,112.5247500,0,-,"TNI AL, Rabu (29/10/2014)",-,-,0,-,0,-
0847FB33-640D-4A59-9DD3-A07AD6E6D319,MS000282,Museum Negeri Mpu Tantular Provinsi Jawa Timur,0,"Jl. Raya Buduran - Jembatan  Layang, Sidoardjo",-,Sidoarjo,Kab. Sidoarjo,Prop. Jawa Timur,-7.4335270,112.7202620,15000,-,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Umum,A,1974,-,0,-
D83357BD-6005-471E-8AF6-8960FB3AED92,MS000509,Museum Polrestabes Surabaya,,"Sikatan No.1, Jl. Raya Taman, Krembangan Sel.",-,Kec. Krembangan,Kab. Sidoarjo,Prov. Jawa Timur,.0000000,.0000000,,-,,,,,,,
