ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
218AC70C-E853-4148-946C-E6B3568E0A4A,MS000523,Museum Indo Tadung,,Obyek Wisata Kete Kesu Pantanakanlolo,-,Kec. Kesu,Kab. Toraja Utara,Prov. Sulawesi Selatan,.0000000,.0000000,,-,,,,,,,
1B6A9C9E-B53D-4B5E-950C-489C6DC77B40,MS000406,Museum Landorundun,0,Ds Tallunglipu,-,Tallunglipu,Kab. Toraja Utara,Prop. Sulawesi Selatan,-2.9768850,119.8768830,0,-,SWASTA,Khusus,-,0,-,0,-
F5E7E167-DAAE-4108-B79B-1C5523F789F2,MS000524,Museum Pong Tiku,,Jl. Landorundun,-,Kec. Rantepao,Kab. Toraja Utara,Prov. Sulawesi Selatan,.0000000,.0000000,,-,,,,,,,
5824B771-7CC6-4447-95FC-1083860BB01E,MS000525,Museum Rambu Solo Ne Gandeng,,"Jl. Museum NeGandeng No. 1, Lembang Palangi Malakiri",-,Kec. Balusu,Kab. Toraja Utara,Prov. Sulawesi Selatan,.0000000,.0000000,,-,,,,,,,
