ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
BE5760B0-59C3-4A7F-98CE-C567695D3A36,MS000108,Museum Aceh,,Jl. Sultan Alaidin Mahmudsyah No.12,-,Baiturrahman,Kota Banda Aceh,Aceh,5.5489350,95.3208750,5328,PEMERINTAH DAERAH,PEMERINTAH DAERAH,Umum,B,1980,Baru,,
99F16C79-1BEA-4344-B9D6-FA37BE614F19,MS000144,Museum Perjuangan Sultan Iskandar Muda ,,"Jl. Kelurahan Penniti, Baiturahim district",Penniti,Baiturrahman,Kota Banda Aceh,Aceh,5.5459450,95.3196270,,,,,-,,,,
B4174D69-4CDD-4823-875A-3141ADFAC78D,MS000020,Museum Tsunami,,Jl. Sultan Iskandar Muda no. 3,-,Baiturrahman,Kota Banda Aceh,Aceh,5.5477190,95.3152260,,PEMERINTAH DAERAH,Dinas Kebudayaan dan Pariwisata Provinsi,Khusus,B,2011,Baru,9900,Pemerintah Provinsi
