ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
19AAC365-1DEB-4FDD-8511-9B95C864BB21,MS000489,Indonesian Islamic Art Museum,,Jl. Raya Paciran,-,Kec. Paciran,Kab. Lamongan,Prov. Jawa Timur,.0000000,.0000000,,-,,,,,,,
26D56686-70F4-437C-B332-F01A156949A9,MS000228,Museum Abirowo,0,Jl. Dr. Wahidin No. 26,-,Paciran,Kab. Lamongan,Prop. Jawa Timur,-6.9160810,109.7235450,0,-,-,-,-,0,-,0,-
AB79FA86-B95C-4A56-9D83-A2AC993B6E2D,MS000289,Museum Sunan Drajat,0,Desa Drajat,-,Paciran,Kab. Lamongan,Prop. Jawa Timur,-7.1224030,112.4156270,0,-,PEMKAB,Khusus,-,0,-,0,-
