ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
F25621C9-CD38-4619-908C-D771C0FA0DE6,MS000435,Museum Pahlawan Nasional Jamin Gintings,,-,Desa Suka,Kec. Tigapanah,Kab. Karo,Prov. Sumatera Utara,.0000000,.0000000,,-,,,,,,,
8A0BB26A-E9D2-49BC-807C-EC2A84E5A027,MS000437,Museum Pusaka Karo,,Jl. Perwira,Gundaling I,Kec. Berastagi,Kab. Karo,Prov. Sumatera Utara,.0000000,.0000000,,-,,,,,,,
